song_id	genius_url	artist_name	song_name
31463	Mick-jenkins-on-the-map-lyrics	Mick jenkins	on the map
31464	Mick-jenkins-pull-up-lyrics	Mick jenkins	pull up
31466	Alex-wiley-like-macgyver-lyrics	Alex wiley	like macgyver
31467	Mick-jenkins-the-leaves-lyrics	Mick jenkins	the leaves
31468	Mick-jenkins-vampire-in-brooklyn-lyrics	Mick jenkins	vampire in brooklyn
31475	Sean-paul-no-lie-lyrics	Sean paul	no lie
31488	A-tribe-called-quest-we-the-people-lyrics	A tribe called quest	we the people
31489	A-tribe-called-quest-can-i-kick-it-lyrics	A tribe called quest	can i kick it
31490	A-tribe-called-quest-electric-relaxation-lyrics	A tribe called quest	electric relaxation
31491	A-tribe-called-quest-buggin-out-lyrics	A tribe called quest	buggin out
31492	A-tribe-called-quest-check-the-rhime-lyrics	A tribe called quest	check the rhime
31493	A-tribe-called-quest-bonita-applebum-lyrics	A tribe called quest	bonita applebum
31494	A-tribe-called-quest-the-space-program-lyrics	A tribe called quest	the space program
31495	A-tribe-called-quest-award-tour-lyrics	A tribe called quest	award tour
31497	A-tribe-called-quest-excursions-lyrics	A tribe called quest	excursions
31498	A-tribe-called-quest-kids-lyrics	A tribe called quest	kids
31499	A-tribe-called-quest-sucka-nigga-lyrics	A tribe called quest	sucka nigga
31500	A-tribe-called-quest-whateva-will-be-lyrics	A tribe called quest	whateva will be
31501	A-tribe-called-quest-melatonin-lyrics	A tribe called quest	melatonin
31502	A-tribe-called-quest-butter-lyrics	A tribe called quest	butter
31503	A-tribe-called-quest-enough-lyrics	A tribe called quest	enough
31504	A-tribe-called-quest-steve-biko-stir-it-up-lyrics	A tribe called quest	steve biko stir it up
31505	A-tribe-called-quest-black-spasmodic-lyrics	A tribe called quest	black spasmodic
31506	A-tribe-called-quest-8-million-stories-lyrics	A tribe called quest	8 million stories
31507	A-tribe-called-quest-lost-somebody-lyrics	A tribe called quest	lost somebody
31508	A-tribe-called-quest-verses-from-the-abstract-lyrics	A tribe called quest	verses from the abstract
31509	A-tribe-called-quest-what-lyrics	A tribe called quest	what
31510	A-tribe-called-quest-ego-lyrics	A tribe called quest	ego
31511	A-tribe-called-quest-the-infamous-date-rape-lyrics	A tribe called quest	the infamous date rape
31512	A-tribe-called-quest-i-left-my-wallet-in-el-segundo-lyrics	A tribe called quest	i left my wallet in el segundo
31513	A-tribe-called-quest-show-business-lyrics	A tribe called quest	show business
31514	A-tribe-called-quest-luck-of-lucien-lyrics	A tribe called quest	luck of lucien
31515	A-tribe-called-quest-we-can-get-down-lyrics	A tribe called quest	we can get down
31516	A-tribe-called-quest-1nce-again-lyrics	A tribe called quest	1nce again
31517	A-tribe-called-quest-georgie-porgie-lyrics	A tribe called quest	georgie porgie
31518	A-tribe-called-quest-midnight-lyrics	A tribe called quest	midnight
31519	A-tribe-called-quest-the-chase-part-ii-lyrics	A tribe called quest	the chase part ii
31520	A-tribe-called-quest-vibes-and-stuff-lyrics	A tribe called quest	vibes and stuff
31521	A-tribe-called-quest-god-lives-through-lyrics	A tribe called quest	god lives through
31522	A-tribe-called-quest-keep-it-rollin-lyrics	A tribe called quest	keep it rollin
31523	A-tribe-called-quest-stressed-out-lyrics	A tribe called quest	stressed out
31524	A-tribe-called-quest-rap-promoter-lyrics	A tribe called quest	rap promoter
31525	A-tribe-called-quest-clap-your-hands-lyrics	A tribe called quest	clap your hands
31527	A-tribe-called-quest-the-hop-lyrics	A tribe called quest	the hop
31528	A-tribe-called-quest-lyrics-to-go-lyrics	A tribe called quest	lyrics to go
31529	Apache-gangsta-bitch-lyrics	Ap	gangsta bitch
31530	A-tribe-called-quest-phony-rappers-lyrics	A tribe called quest	phony rappers
31531	A-tribe-called-quest-push-it-along-lyrics	A tribe called quest	push it along
31532	A-tribe-called-quest-skypager-lyrics	A tribe called quest	skypager
31533	A-tribe-called-quest-ham-n-eggs-lyrics	A tribe called quest	ham n eggs
31534	A-tribe-called-quest-everything-is-fair-lyrics	A tribe called quest	everything is fair
31535	A-tribe-called-quest-keeping-it-moving-lyrics	A tribe called quest	keeping it moving
31536	A-tribe-called-quest-midnight-marauders-tour-guide-lyrics	A tribe called quest	midnight marauders tour guide
31537	A-tribe-called-quest-get-a-hold-lyrics	A tribe called quest	get a hold
31538	A-tribe-called-quest-after-hours-lyrics	A tribe called quest	after hours
31539	A-tribe-called-quest-jam-lyrics	A tribe called quest	jam
